"","age","animal.id","MouseID","Sex","Genotype","values","assay","experiment.date","gram.values","gest.age","postnatal"
"48",85,26796,"1447","F","-/-",20100,"Body Weight",2021-05-18,20.1,-3.5,"n"
"49",92,26796,"1447","F","-/-",20700,"Body Weight",2021-05-25,20.7,4.5,"n"
"50",99,26796,"1447","F","-/-",23300,"Body Weight",2021-06-01,23.3,11.5,"n"
"51",106,26796,"1447","F","-/-",33100,"Body Weight",2021-06-08,33.1,18.5,"n"
"52",113,26796,"1447","F","-/-",25500,"Body Weight",2021-06-15,25.5,25.5,"y"
"53",120,26796,"1447","F","-/-",27700,"Body Weight",2021-06-22,27.7,32.5,"y"
"54",109,26796,"1447","F","-/-",25700,"Body Weight",2021-06-11,25.7,21.5,"y"
"55",126,26796,"1447","F","-/-",28000,"Body Weight",2021-06-28,28,38.5,"y"
"56",85,26852,"1499","F","+/+",22500,"Body Weight",2021-06-01,22.5,-5.5,"n"
"57",92,26852,"1499","F","+/+",24000,"Body Weight",2021-06-08,24,2.5,"n"
"58",99,26852,"1499","F","+/+",25000,"Body Weight",2021-06-15,25,9.5,"n"
"59",106,26852,"1499","F","+/+",35400,"Body Weight",2021-06-22,35.4,16.5,"n"
"60",109,26852,"1499","F","+/+",26900,"Body Weight",2021-06-25,26.9,19.5,"y"
"61",120,26852,"1499","F","+/+",30300,"Body Weight",2021-07-06,30.3,30.5,"y"
"62",113,26852,"1499","F","+/+",28700,"Body Weight",2021-06-29,28.7,23.5,"y"
"63",85,26853,"1500","F","-/-",21200,"Body Weight",2021-06-01,21.2,-5.5,"n"
"64",92,26853,"1500","F","-/-",22700,"Body Weight",2021-06-08,22.7,2.5,"n"
"65",99,26853,"1500","F","-/-",24600,"Body Weight",2021-06-15,24.6,9.5,"n"
"66",106,26853,"1500","F","-/-",35400,"Body Weight",2021-06-22,35.4,16.5,"n"
"67",108,26853,"1500","F","-/-",25100,"Body Weight",2021-06-24,25.1,18.5,"y"
"68",120,26853,"1500","F","-/-",27900,"Body Weight",2021-07-06,27.9,30.5,"y"
"69",113,26853,"1500","F","-/-",27200,"Body Weight",2021-06-29,27.2,23.5,"y"
