ID,age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date,treatment,dam,cohort,gram.values
455,143,25742,455,F,+/+,7850,Total Fat Mass,2021-01-19,eTRF,134,2,7.85
455,143,25742,455,F,+/+,20590,Lean Mass,2021-01-19,eTRF,134,2,20.59
455,150,25742,455,F,+/+,32900,Body Weight,2021-01-26,eTRF,134,2,32.9
455,150,25742,455,F,+/+,11240,Total Fat Mass,2021-01-26,eTRF,134,2,11.24
455,150,25742,455,F,+/+,19180,Lean Mass,2021-01-26,eTRF,134,2,19.18
455,157,25742,455,F,+/+,33000,Body Weight,2021-02-02,eTRF,134,2,33
455,157,25742,455,F,+/+,11290,Total Fat Mass,2021-02-02,eTRF,134,2,11.29
455,157,25742,455,F,+/+,19300,Lean Mass,2021-02-02,eTRF,134,2,19.3
455,164,25742,455,F,+/+,34000,Body Weight,2021-02-09,eTRF,134,2,34
455,164,25742,455,F,+/+,11260,Total Fat Mass,2021-02-09,eTRF,134,2,11.26
455,164,25742,455,F,+/+,20910,Lean Mass,2021-02-09,eTRF,134,2,20.91
456,26,25764,456,M,+/+,13300,Body Weight,2020-09-23,AL,128,2,13.3
456,26,25764,456,M,+/+,1180,Total Fat Mass,2020-09-23,AL,128,2,1.18
456,26,25764,456,M,+/+,10940,Lean Mass,2020-09-23,AL,128,2,10.94
456,21,25764,456,M,+/+,10100,Body Weight,2020-09-18,AL,128,2,10.1
456,21,25764,456,M,+/+,390,Total Fat Mass,2020-09-18,AL,128,2,0.39
456,21,25764,456,M,+/+,8900,Lean Mass,2020-09-18,AL,128,2,8.9
456,33,25764,456,M,+/+,19800,Body Weight,2020-09-30,AL,128,2,19.8
456,33,25764,456,M,+/+,1220,Total Fat Mass,2020-09-30,AL,128,2,1.22
456,33,25764,456,M,+/+,16780,Lean Mass,2020-09-30,AL,128,2,16.78
456,40,25764,456,M,+/+,20800,Body Weight,2020-10-07,AL,128,2,20.8
456,40,25764,456,M,+/+,930,Total Fat Mass,2020-10-07,AL,128,2,0.93
456,40,25764,456,M,+/+,18070,Lean Mass,2020-10-07,AL,128,2,18.07
456,47,25764,456,M,+/+,22200,Body Weight,2020-10-14,AL,128,2,22.2
456,47,25764,456,M,+/+,860,Total Fat Mass,2020-10-14,AL,128,2,0.86
456,47,25764,456,M,+/+,19430,Lean Mass,2020-10-14,AL,128,2,19.43
456,54,25764,456,M,+/+,24300,Body Weight,2020-10-21,AL,128,2,24.3
456,54,25764,456,M,+/+,1450,Total Fat Mass,2020-10-21,AL,128,2,1.45
456,54,25764,456,M,+/+,20700,Lean Mass,2020-10-21,AL,128,2,20.7
456,61,25764,456,M,+/+,24400,Body Weight,2020-10-28,AL,128,2,24.4
456,61,25764,456,M,+/+,1210,Total Fat Mass,2020-10-28,AL,128,2,1.21
456,61,25764,456,M,+/+,20940,Lean Mass,2020-10-28,AL,128,2,20.94
456,68,25764,456,M,+/+,24400,Body Weight,2020-11-04,AL,128,2,24.4
456,68,25764,456,M,+/+,1180,Total Fat Mass,2020-11-04,AL,128,2,1.18
456,68,25764,456,M,+/+,21020,Lean Mass,2020-11-04,AL,128,2,21.02
456,75,25764,456,M,+/+,25100,Body Weight,2020-11-11,AL,128,2,25.1
456,75,25764,456,M,+/+,1150,Total Fat Mass,2020-11-11,AL,128,2,1.15
456,75,25764,456,M,+/+,21660,Lean Mass,2020-11-11,AL,128,2,21.66
456,82,25764,456,M,+/+,29100,Body Weight,2020-11-18,AL,128,2,29.1
456,82,25764,456,M,+/+,4090,Total Fat Mass,2020-11-18,AL,128,2,4.09
456,82,25764,456,M,+/+,22170,Lean Mass,2020-11-18,AL,128,2,22.17
456,89,25764,456,M,+/+,29300,Body Weight,2020-11-25,AL,128,2,29.3
456,89,25764,456,M,+/+,4600,Total Fat Mass,2020-11-25,AL,128,2,4.6
456,89,25764,456,M,+/+,22160,Lean Mass,2020-11-25,AL,128,2,22.16
456,96,25764,456,M,+/+,31100,Body Weight,2020-12-02,AL,128,2,31.1
456,96,25764,456,M,+/+,5480,Total Fat Mass,2020-12-02,AL,128,2,5.48
456,96,25764,456,M,+/+,23420,Lean Mass,2020-12-02,AL,128,2,23.42
456,103,25764,456,M,+/+,32900,Body Weight,2020-12-09,AL,128,2,32.9
456,103,25764,456,M,+/+,6080,Total Fat Mass,2020-12-09,AL,128,2,6.08
456,103,25764,456,M,+/+,24320,Lean Mass,2020-12-09,AL,128,2,24.32
456,110,25764,456,M,+/+,34200,Body Weight,2020-12-16,AL,128,2,34.2
456,110,25764,456,M,+/+,6500,Total Fat Mass,2020-12-16,AL,128,2,6.5
456,110,25764,456,M,+/+,25250,Lean Mass,2020-12-16,AL,128,2,25.25
456,117,25764,456,M,+/+,33300,Body Weight,2020-12-23,AL,128,2,33.3
456,117,25764,456,M,+/+,3880,Total Fat Mass,2020-12-23,AL,128,2,3.88
456,117,25764,456,M,+/+,27290,Lean Mass,2020-12-23,AL,128,2,27.29
456,129,25764,456,M,+/+,35600,Body Weight,2021-01-04,AL,128,2,35.6
456,129,25764,456,M,+/+,5710,Total Fat Mass,2021-01-04,AL,128,2,5.71
456,129,25764,456,M,+/+,26570,Lean Mass,2021-01-04,AL,128,2,26.57
456,137,25764,456,M,+/+,36400,Body Weight,2021-01-12,AL,128,2,36.4
456,137,25764,456,M,+/+,6560,Total Fat Mass,2021-01-12,AL,128,2,6.56
456,137,25764,456,M,+/+,26980,Lean Mass,2021-01-12,AL,128,2,26.98
456,144,25764,456,M,+/+,37400,Body Weight,2021-01-19,AL,128,2,37.4
456,144,25764,456,M,+/+,7740,Total Fat Mass,2021-01-19,AL,128,2,7.74
456,144,25764,456,M,+/+,26720,Lean Mass,2021-01-19,AL,128,2,26.72
456,151,25764,456,M,+/+,38100,Body Weight,2021-01-26,AL,128,2,38.1
456,151,25764,456,M,+/+,8450,Total Fat Mass,2021-01-26,AL,128,2,8.45
