cage,# in cage,week,IDs,start,end,date,notes,diet,cohort,food.consumed,kcals.consumed,food.cumulative,treatment,sex
2011,4,2,"8595, 8598, 8599, 8594",314.4,204.3,6/2-6/10,NA,NCD,1,3.932142857142856,11.442535714285711,17.38725,eTRF,female
2011,4,18,"8595, 8598, 8599, 8594",329.7,248.8,9/23-9/30,NA,HFD,1,2.8892857142857133,13.666321428571425,397.4887857142857,eTRF,female
2011,4,7,"8595, 8598, 8599, 8594",374,149.1,7/8-7/15,NA,NCD,1,8.032142857142857,23.373535714285715,93.94103571428572,eTRF,female
2011,4,22,"8595, 8598, 8599, 8594",309,246.7,10/21-10/28,NA,HFD,1,2.2250000000000005,10.524250000000004,442.50825000000003,eTRF,female
2014,4,13,"8675, 8676, 8668, 8667",301.5,135.5,8/26-9/3,NA,HFD,1,5.928571428571429,28.04214285714286,305.57975000000005,AL,female
2014,4,9,"8675, 8676, 8668, 8667",325.4,97.7,7/29-8/5,chewer,HFD,1,8.132142857142856,38.46503571428571,177.80217857142858,AL,female
2014,4,10,"8675, 8676, 8668, 8667",313.5,123.4,8/5-8/12,NA,HFD,1,6.789285714285714,32.11332142857143,209.9155,AL,female
2014,4,3,"8675, 8676, 8668, 8667",355.2,257,6/17-6/24,NA,NCD,1,3.5071428571428567,10.205785714285714,26.283535714285712,AL,female
2014,4,4,"8675, 8676, 8668, 8667",319.8,221.8,6/24-7/1,NA,NCD,1,3.5,10.185,36.468535714285714,AL,female
2014,4,15,"8675, 8676, 8668, 8667",325.6,231.6,9/9-9/16,chewer,HFD,1,3.357142857142858,15.87928571428572,329.85478571428575,AL,female
2014,4,11,"8675, 8676, 8668, 8667",304.6,101.9,8/12-8/19,chewer,HFD,1,7.239285714285715,34.241821428571434,244.15732142857146,AL,female
2014,4,20,"8675, 8676, 8668, 8667",296.3,230.3,10/14-10/21,NA,HFD,1,2.357142857142857,11.149285714285716,391.78400000000005,AL,female
2014,4,17,"8675, 8676, 8668, 8667",343.1,269.1,9/23-9/30,NA,HFD,1,2.642857142857143,12.500714285714286,355.1265,AL,female
2014,4,6,"8675, 8676, 8668, 8667",345.8,189,7/8-7/15,NA,NCD,1,5.6000000000000005,16.296000000000003,65.19439285714286,AL,female
2014,4,14,"8675, 8676, 8668, 8667",375.3,325.6,9/3-9/9,NA,HFD,1,1.7749999999999997,8.39575,313.9755,AL,female
2014,4,19,"8675, 8676, 8668, 8667",285,219.6,10/7-10/14,NA,HFD,1,2.335714285714286,11.047928571428573,380.6347142857143,AL,female
2014,4,16,"8675, 8676, 8668, 8667",231.6,156,9/16-9/23,NA,HFD,1,2.6999999999999997,12.770999999999999,342.62578571428577,AL,female
2014,4,8,"8675, 8676, 8668, 8667",294.6,87.5,7/22-7/29,chewer,HFD,1,7.396428571428572,34.98510714285715,139.33714285714288,AL,female
2014,4,5,"8675, 8676, 8668, 8667",369.7,250.1,7/1-7/8,NA,NCD,1,4.271428571428571,12.429857142857143,48.89839285714286,AL,female
2014,4,12,"8675, 8676, 8668, 8667",301.9,104.3,8/19-8/26,chewer,HFD,1,7.057142857142856,33.38028571428571,277.53760714285715,AL,female
2014,4,1,"8675, 8676, 8668, 8667",350.9,285.1,6/2-6/10,NA,NCD,1,2.3499999999999983,6.838499999999995,6.838499999999995,AL,female
2014,4,18,"8675, 8676, 8668, 8667",303,217.4,9/30-10/7,NA,HFD,1,3.057142857142857,14.460285714285714,369.5867857142857,AL,female
2014,4,21,"8675, 8676, 8668, 8667",311.8,240.1,10/21-10/28,NA,HFD,1,2.5607142857142864,12.112178571428576,403.8961785714286,AL,female
2014,4,22,"8675, 8676, 8668, 8667",240.1,231.9,10/28-10/30,NA,HFD,1,0.2928571428571424,1.3852142857142837,405.28139285714286,AL,female
2014,4,7,"8675, 8676, 8668, 8667",303.1,71.3,7/15-7/22,chewer,HFD,1,8.278571428571428,39.15764285714286,104.35203571428572,AL,female
2014,4,2,"8675, 8676, 8668, 8667",348.6,259.7,6/10-6/17,NA,NCD,1,3.175000000000001,9.239250000000004,16.077749999999998,AL,female
2015,4,10,"8673, 8674, 8666, 8665",257.5,180,8/5-8/12,NA,HFD,1,2.767857142857143,13.091964285714287,134.08307142857146,AL,male
2015,4,13,"8673, 8674, 8666, 8665",277,187.3,8/26-9/3,NA,HFD,1,3.2035714285714283,15.152892857142858,175.3354285714286,AL,male
2015,4,11,"8673, 8674, 8666, 8665",264.9,188.4,8/12-8/19,chewer,HFD,1,2.7321428571428563,12.923035714285712,147.00610714285716,AL,male
2015,4,18,"8673, 8674, 8666, 8665",279,200.7,9/30-10/7,NA,HFD,1,2.7964285714285717,13.227107142857145,237.8221071428572,AL,male
2015,4,19,"8673, 8674, 8666, 8665",307.1,237,10/7-10/14,NA,HFD,1,2.5035714285714294,11.841892857142863,249.66400000000004,AL,male
2015,4,4,"8673, 8674, 8666, 8665",356.6,233,6/24-7/1,NA,NCD,1,4.4142857142857155,12.845571428571432,44.2839642857143,AL,male
2015,4,23,"8673, 8674, 8666, 8665",201.2,179.7,11/4-11/7,NA,HFD,1,0.7678571428571429,3.6319642857142864,290.0041428571429,AL,male
2015,4,9,"8673, 8674, 8666, 8665",336.6,257.5,7/29-8/5,NA,HFD,1,2.8250000000000006,13.362250000000005,120.99110714285717,AL,male
2015,4,12,"8673, 8674, 8666, 8665",297.5,219.5,8/19-8/26,NA,HFD,1,2.7857142857142856,13.176428571428572,160.18253571428573,AL,male
2015,4,3,"8673, 8674, 8666, 8665",388.6,273.5,6/17-6/24,NA,NCD,1,4.110714285714287,11.962178571428575,31.438392857142865,AL,male
2015,4,15,"8673, 8674, 8666, 8665",290.9,215.5,9/9-9/16,NA,HFD,1,2.692857142857142,12.737214285714284,199.91453571428576,AL,male
2015,4,14,"8673, 8674, 8666, 8665",361,290.9,9/3-9/9,NA,HFD,1,2.5035714285714294,11.841892857142863,187.17732142857147,AL,male
2015,4,2,"8673, 8674, 8666, 8665",390.3,280.6,6/10-6/17,NA,NCD,1,3.9178571428571423,11.400964285714284,19.476214285714292,AL,male
2015,4,17,"8673, 8674, 8666, 8665",325.2,251.3,9/23-9/30,NA,HFD,1,2.6392857142857133,12.483821428571424,224.59500000000003,AL,male
2015,4,6,"8673, 8674, 8666, 8665",383.6,246.5,7/8-7-15,NA,NCD,1,4.896428571428572,14.248607142857146,76.51221428571431,AL,male
2015,4,20,"8673, 8674, 8666, 8665",311.5,239.1,10/14-10/21,NA,HFD,1,2.585714285714286,12.230428571428574,261.8944285714286,AL,male
2015,4,8,"8673, 8674, 8666, 8665",302.5,212.4,7/22-7/29,NA,HFD,1,3.2178571428571425,15.220464285714286,107.62885714285717,AL,male
2015,4,16,"8673, 8674, 8666, 8665",298.3,226.1,9/16-9/23,NA,HFD,1,2.578571428571429,12.19664285714286,212.1111785714286,AL,male
2015,4,21,"8673, 8674, 8666, 8665",288.7,217,10/21-10/28,NA,HFD,1,2.5607142857142855,12.112178571428572,274.0066071428572,AL,male
2015,4,5,"8673, 8674, 8666, 8665",349.3,176.3,7/1-7/8,chewer,NCD,1,6.178571428571429,17.97964285714286,62.263607142857154,AL,male
2015,4,22,"8673, 8674, 8666, 8665",274.4,201.2,10/28-11/4,NA,HFD,1,2.614285714285714,12.365571428571428,286.3721785714286,AL,male
2015,4,1,"8673, 8674, 8666, 8665",350.6,272.9,6/2-6/10,NA,NCD,1,2.7750000000000017,8.075250000000006,8.075250000000006,AL,male
2015,4,7,"8673, 8674, 8666, 8665",321.3,227.2,7/15-7/22,NA,HFD,1,3.3607142857142867,15.896178571428578,92.40839285714289,AL,male
2031,1,10,8688,206.9,186.1,8/19-8/26,NA,HFD,1,2.971428571428573,14.05485714285715,347.8698571428572,eTRF,male
2031,1,14,8688,316.6,292.4,9/16-9/23,NA,HFD,1,3.4571428571428635,16.352285714285745,408.68414285714294,eTRF,male
2031,1,4,8688,290.7,248.2,7/8-7/15,NA,NCD,1,6.071428571428571,17.667857142857144,57.119142857142876,eTRF,male
2031,1,18,8688,223.7,202.5,10/14-10/21,NA,HFD,1,3.028571428571427,14.325142857142852,469.43085714285723,eTRF,male
2031,1,19,8688,202.5,181.9,10/21-10/28,NA,HFD,1,2.942857142857142,13.919714285714283,483.3505714285715,eTRF,male
2031,1,15,8688,292.4,270.2,9/23-9/30,NA,HFD,1,3.17142857142857,15.000857142857138,423.68500000000006,eTRF,male
2031,1,17,8688,249.1,223.7,10/7-10/14,NA,HFD,1,3.6285714285714294,17.163142857142862,455.1057142857144,eTRF,male
2031,1,16,8688,270.2,249.1,9/30-10/7,NA,HFD,1,3.0142857142857133,14.257571428571426,437.9425714285715,eTRF,male
2031,1,1,8688,385.6,353.1,6/17-6/24,NA,NCD,1,4.642857142857143,13.510714285714288,13.510714285714288,eTRF,male
2031,1,20,8688,181.9,159.7,10/28-11/4,NA,HFD,1,3.171428571428574,15.000857142857155,498.35142857142864,eTRF,male
2031,1,5,8688,228.5,98,7/15-7/22,chewer,NCD,1,18.642857142857142,54.25071428571429,111.36985714285717,eTRF,male
2031,1,12,8688,359.5,338.3,9/3-9/9,NA,HFD,1,3.028571428571427,14.325142857142852,377.6688571428572,eTRF,male
2031,1,13,8688,338.3,316.6,9/9-9/16,NA,HFD,1,3.0999999999999983,14.662999999999993,392.3318571428572,eTRF,male
2031,1,11,8688,186.1,163.2,8/26-9/3,NA,HFD,1,3.2714285714285722,15.473857142857149,363.3437142857143,eTRF,male
2031,1,9,8688,236.3,206.9,8/12-8/19,NA,HFD,1,4.200000000000001,19.866000000000007,333.81500000000005,eTRF,male
2031,1,8,8688,189.4,129.7,8/5-8/12,NA,HFD,1,8.52857142857143,40.340142857142865,313.94900000000007,eTRF,male
2031,1,6,8688,218.4,89.5,7/22-7/29,chewer,HFD,1,18.414285714285715,87.09957142857144,198.4694285714286,eTRF,male
2031,1,7,8688,300.6,189.4,7/29-8/5,chewer,HFD,1,15.885714285714288,75.13942857142858,273.6088571428572,eTRF,male
2031,1,21,8688,159.7,153.2,11/4-11/7,NA,HFD,1,0.9285714285714286,4.392142857142858,502.7435714285715,eTRF,male
2031,1,3,8688,325.4,290.7,7/1-7/8,NA,NCD,1,4.9571428571428555,14.42528571428571,39.45128571428573,eTRF,male
2031,1,2,8688,353.1,325.4,6/24-7/1,NA,NCD,1,3.9571428571428635,11.515285714285733,25.02600000000002,eTRF,male
2032,5,14,"8746, 8585, 8690, 8691, 8689",335.5,238.9,9/16-9/23,NA,HFD,1,2.7600000000000002,13.054800000000002,287.7702571428572,eTRF,female
2032,5,18,"8746, 8585, 8690, 8691, 8689",310,226.6,10/14-10/21,NA,HFD,1,2.382857142857143,11.270914285714287,333.85397142857147,eTRF,female
2032,5,10,"8746, 8585, 8690, 8691, 8689",321.4,119.2,8/19-8/26,chewer,HFD,1,5.777142857142857,27.325885714285715,229.0642,eTRF,female
2032,5,15,"8746, 8585, 8690, 8691, 8689",330,241.5,9/23-9/30,NA,HFD,1,2.5285714285714285,11.960142857142857,299.73040000000003,eTRF,female
2032,5,21,"8746, 8585, 8690, 8691, 8689",384.2,361.3,11/4-11/7,NA,HFD,1,0.6542857142857137,3.094771428571426,360.13925714285716,eTRF,female
2032,5,16,"8746, 8585, 8690, 8691, 8689",283.3,191.9,9/30-10/7,NA,HFD,1,2.6114285714285717,12.352057142857145,312.08245714285715,eTRF,female
2032,5,20,"8746, 8585, 8690, 8691, 8689",471.1,384.2,10/28-11/4,NA,HFD,1,2.4828571428571435,11.74391428571429,357.0444857142857,eTRF,female
2032,5,17,"8746, 8585, 8690, 8691, 8689",310,232.3,10/7-10/14,NA,HFD,1,2.2199999999999998,10.5006,322.58305714285717,eTRF,female
2032,5,11,"8746, 8585, 8690, 8691, 8689",286.1,104.5,8/26-9/3,chewer,HFD,1,5.1885714285714295,24.541942857142864,253.60614285714288,eTRF,female
2032,5,19,"8746, 8585, 8690, 8691, 8689",306.2,221.5,10/21-10/28,NA,HFD,1,2.4199999999999995,11.446599999999998,345.30057142857146,eTRF,female
2032,5,4,"8746, 8585, 8690, 8691, 8689",374.1,206.5,7/8-7/15,NA,NCD,1,4.788571428571429,13.93474285714286,50.634,eTRF,female
2032,5,9,"8746, 8585, 8690, 8691, 8689",283.2,10.5,8/12-8/19,chewer,HFD,1,7.791428571428571,36.853457142857145,201.7383142857143,eTRF,female
2032,5,7,"8746, 8585, 8690, 8691, 8689",224.5,35.5,7/29-8/5,chewer,HFD,1,5.3999999999999995,25.541999999999998,132.31542857142858,eTRF,female
2032,5,12,"8746, 8585, 8690, 8691, 8689",348.7,272.5,9/3-9/9,NA,HFD,1,2.177142857142857,10.297885714285714,263.90402857142857,eTRF,female
2032,5,5,"8746, 8585, 8690, 8691, 8689",393.9,112.2,7/15-7/22,chewer,NCD,1,8.048571428571428,23.421342857142857,74.05534285714286,eTRF,female
2032,5,6,"8746, 8585, 8690, 8691, 8689",353,110.9,7/22-7/29,chewer,HFD,1,6.917142857142857,32.71808571428572,106.77342857142858,eTRF,female
2032,5,3,"8746, 8585, 8690, 8691, 8689",384.4,206.3,7/1-7/8,NA,NCD,1,5.088571428571427,14.807742857142854,36.69925714285714,eTRF,female
2032,5,2,"8746, 8585, 8690, 8691, 8689",322.6,193.4,6/24-7/1,NA,NCD,1,3.6914285714285717,10.742057142857144,21.891514285714287,eTRF,female
2032,5,13,"8746, 8585, 8690, 8691, 8689",345.4,265.4,9/9-9/16,NA,HFD,1,2.2857142857142856,10.811428571428571,274.71545714285713,eTRF,female
2032,5,8,"8746, 8585, 8690, 8691, 8689",267.7,26.7,8/5-8/12,chewer,HFD,1,6.885714285714286,32.569428571428574,164.88485714285716,eTRF,female
2032,5,1,"8746, 8585, 8690, 8691, 8689",331.5,197.4,6/17-6/24,NA,NCD,1,3.8314285714285714,11.149457142857143,11.149457142857143,eTRF,female
2033,5,5,"8686, 8747, 8748, 8750, 8745",345.9,82,7/15-7/22,chewer,NCD,1,7.539999999999999,21.941399999999998,70.58828571428572,eTRF,female
