sex,ID,cage,treatment,cohort,week,Body Weight,Total Fat Mass,Lean Mass,Free Water,"NA"
male,8669,2037,AL,1,20,50.5,17.47,30.79,NA,NA
male,8670,2037,AL,1,1,12.966666666666667,1.0566666666666666,10.996666666666666,0.5866666666666667,NA
male,8670,2037,AL,1,8,23.6,1.11,20.83,0.15,NA
male,8670,2037,AL,1,20,36.8,11.32,24.18,NA,NA
female,8672,2038,AL,1,1,13.100000000000001,1.01,10.565000000000001,0.9,NA
female,8672,2038,AL,1,8,21.8,3.82,17.41,0.07,NA
female,8672,2038,AL,1,20,36.4,12.16,21.92,NA,NA
male,8677,2037,AL,1,1,11.533333333333333,1.1166666666666667,9.546666666666667,0.51,NA
male,8677,2037,AL,1,8,27,1.95,23.45,0.05,NA
male,8677,2037,AL,1,20,49.7,19.57,28.91,NA,NA
female,8679,2038,AL,1,1,9,1.165,9.895,0.28500000000000003,NA
female,8679,2038,AL,1,8,18.7,2.32,14.88,0,NA
female,8679,2038,AL,1,20,33.7,14.23,17.72,NA,NA
male,8678,2037,AL,1,1,10.233333333333334,0.8533333333333334,8.76,0.6266666666666667,NA
male,8678,2037,AL,1,8,25.4,1.89,22.04,0.21,NA
male,8678,2037,AL,1,20,43.3,15.2,27.1,NA,NA
female,8680,2038,AL,1,1,10.05,1.125,8.51,0.375,NA
female,8680,2038,AL,1,8,22.5,3.59,16.91,0.05,NA
female,8680,2038,AL,1,20,29.3,9.67,18.71,NA,NA
female,8748,2033,eTRF,1,1,16.3,1.67,14.55,0.55,NA
female,8748,2033,eTRF,1,8,19.4,1.31,16.16,0.13,NA
female,8748,2033,eTRF,1,20,38.3,18.47,19.09,NA,NA
female,8750,2033,eTRF,1,1,16.9,1.38,13.34,0,NA
female,8750,2033,eTRF,1,8,19.4,1.89,15.93,0.02,NA
female,8750,2033,eTRF,1,20,41.7,19.87,20.22,NA,NA
female,8746,2032,eTRF,1,1,16.45,1.795,14.54,0.21000000000000002,NA
female,8746,2032,eTRF,1,8,20.5,1.72,16.87,0.1,NA
female,8746,2032,eTRF,1,20,35.5,15.2,19.55,NA,NA
female,8685,2032,eTRF,1,1,15,1.4,13.15,0.49,NA
female,8685,2032,eTRF,1,8,19.9,2.14,16.2,0.17,NA
female,8685,2032,eTRF,1,20,27.1,5.83,21.05,NA,NA
female,8686,2033,eTRF,1,1,17.2,1.99,14.37,0.14,NA
female,8686,2033,eTRF,1,8,19.4,1.65,15.99,0,NA
female,8686,2033,eTRF,1,20,38,15.76,20.72,NA,NA
female,8747,2033,eTRF,1,1,15.1,1.6,12.96,0,NA
female,8747,2033,eTRF,1,8,19.7,1.76,15.99,0.09,NA
female,8747,2033,eTRF,1,20,31,10.02,19.26,NA,NA
male,8688,2031,eTRF,1,1,19.5,2.6,15.1,1.28,NA
male,8688,2031,eTRF,1,8,28.6,5.31,21.94,0,NA
male,8688,2031,eTRF,1,20,50.3,21.57,27.78,NA,NA
female,8689,2032,eTRF,1,1,17.833333333333332,NA,NA,0.21,NA
female,8689,2032,eTRF,1,8,21.4,1.88,17.8,0,NA
female,8689,2032,eTRF,1,20,41.5,17.14,23.31,NA,NA
female,8690,2032,eTRF,1,1,16.7,1.61,14.3,0.35,NA
