ID,treatment,pregnancy,cohort,gave.birth,date,estrus.stage,estrous.num
125,eTRF,1,2,no,2020-07-28,D,1
125,eTRF,1,2,no,2020-07-31,M,1
125,eTRF,1,2,no,2020-07-05,P,2
125,eTRF,1,2,no,2020-07-06,M,1
125,eTRF,1,2,no,2020-07-23,M,1
125,eTRF,1,2,no,2020-07-26,E,3
125,eTRF,1,2,no,2020-07-29,P,2
125,eTRF,1,2,no,2020-06-30,D,1
125,eTRF,1,2,no,2020-08-07,M,1
125,eTRF,1,2,no,2020-07-04,D,1
125,eTRF,1,2,no,2020-07-17,E,3
125,eTRF,1,2,no,2020-07-16,P,2
125,eTRF,1,2,no,2020-07-03,E,3
125,eTRF,1,2,no,2020-07-20,P,2
127,AL,1,2,no,2020-07-20,M,1
127,AL,1,2,no,2020-07-30,P,2
127,AL,1,2,no,2020-08-02,D,1
127,AL,1,2,no,2020-07-08,P,2
127,AL,1,2,no,2020-07-22,M,1
127,AL,1,2,no,2020-07-23,M,1
127,AL,1,2,no,2020-07-19,P,2
127,AL,1,2,no,2020-07-26,D,1
127,AL,1,2,no,2020-07-24,D,1
127,AL,1,2,no,2020-07-21,D,1
127,AL,1,2,no,2020-08-09,P,2
127,AL,1,2,no,2020-08-10,D,1
127,AL,1,2,no,2020-08-03,D,1
127,AL,1,2,no,2020-08-04,P,2
127,AL,1,2,no,2020-07-25,D,1
127,AL,1,2,no,2020-07-28,P,2
127,AL,1,2,no,2020-07-29,D,1
127,AL,1,2,no,2020-07-18,E,3
127,AL,1,2,no,2020-08-07,M,1
127,AL,1,2,no,2020-07-07,D,1
127,AL,1,2,no,2020-07-01,M,1
127,AL,1,2,no,2020-08-06,M,1
127,AL,1,2,no,2020-07-17,P,2
127,AL,1,2,no,2020-07-02,E,3
127,AL,1,2,no,2020-07-05,E,3
127,AL,1,2,no,2020-08-01,E,3
127,AL,1,2,no,2020-07-03,E,3
127,AL,1,2,no,2020-07-06,D,1
127,AL,1,2,no,2020-08-05,E,3
127,AL,1,2,no,2020-07-04,P,2
127,AL,1,2,no,2020-07-15,E,3
127,AL,1,2,no,2020-07-16,D,1
127,AL,1,2,no,2020-06-30,E,3
127,AL,1,2,no,2020-07-14,P,2
127,AL,1,2,no,2020-08-08,E,3
127,AL,1,2,no,2020-07-27,M,1
127,AL,1,2,no,2020-07-31,P,2
128,AL,1,2,yes,2020-06-30,E,3
128,AL,1,2,yes,2020-07-01,M,1
128,AL,1,2,yes,2020-07-30,P,2
128,AL,1,2,yes,2020-07-25,D,1
128,AL,1,2,yes,2020-07-28,M,1
128,AL,1,2,yes,2020-07-26,P,2
128,AL,1,2,yes,2020-07-04,D,1
128,AL,1,2,yes,2020-07-07,E,3
128,AL,1,2,yes,2020-08-02,D,1
128,AL,1,2,yes,2020-08-03,E,3
128,AL,1,2,yes,2020-07-14,P,2
128,AL,1,2,yes,2020-07-22,E,3
128,AL,1,2,yes,2020-08-05,D,1
128,AL,1,2,yes,2020-07-27,E,3
128,AL,1,2,yes,2020-08-08,E,3
128,AL,1,2,yes,2020-08-01,D,1
128,AL,1,2,yes,2020-07-29,D,1
128,AL,1,2,yes,2020-07-24,M,1
128,AL,1,2,yes,2020-08-06,D,1
128,AL,1,2,yes,2020-07-15,M,1
128,AL,1,2,yes,2020-07-18,M,1
128,AL,1,2,yes,2020-07-02,D,1
128,AL,1,2,yes,2020-07-03,P,2
128,AL,1,2,yes,2020-08-07,E,3
128,AL,1,2,yes,2020-08-04,M,1
128,AL,1,2,yes,2020-07-23,P,2
128,AL,1,2,yes,2020-07-05,D,1
128,AL,1,2,yes,2020-07-31,E,3
128,AL,1,2,yes,2020-07-17,D,1
128,AL,1,2,yes,2020-07-21,D,1
128,AL,1,2,yes,2020-07-06,P,2
128,AL,1,2,yes,2020-07-16,D,1
128,AL,1,2,yes,2020-07-20,D,1
128,AL,1,2,yes,2020-07-08,E,3
128,AL,1,2,yes,2020-07-19,D,1
130,eTRF,1,2,no,2020-07-29,D,1
130,eTRF,1,2,no,2020-08-03,M,1
130,eTRF,1,2,no,2020-07-15,D,1
130,eTRF,1,2,no,2020-08-02,E,3
130,eTRF,1,2,no,2020-07-27,E,3
130,eTRF,1,2,no,2020-07-23,D,1
130,eTRF,1,2,no,2020-07-30,D,1
130,eTRF,1,2,no,2020-07-28,D,1
130,eTRF,1,2,no,2020-07-02,E,3
130,eTRF,1,2,no,2020-07-21,P,2
130,eTRF,1,2,no,2020-08-06,M,1
130,eTRF,1,2,no,2020-07-04,D,1
130,eTRF,1,2,no,2020-07-07,M,1
130,eTRF,1,2,no,2020-07-05,P,2
130,eTRF,1,2,no,2020-07-03,D,1
130,eTRF,1,2,no,2020-08-04,M,1
130,eTRF,1,2,no,2020-07-08,D,1
130,eTRF,1,2,no,2020-08-10,M,1
130,eTRF,1,2,no,2020-07-31,P,2
130,eTRF,1,2,no,2020-07-24,D,1
130,eTRF,1,2,no,2020-08-09,P,2
130,eTRF,1,2,no,2020-08-08,D,1
130,eTRF,1,2,no,2020-08-01,E,3
130,eTRF,1,2,no,2020-07-22,E,3
130,eTRF,1,2,no,2020-07-14,P,2
130,eTRF,1,2,no,2020-07-01,P,2
130,eTRF,1,2,no,2020-07-18,M,1
130,eTRF,1,2,no,2020-07-06,E,3
130,eTRF,1,2,no,2020-08-07,D,1
130,eTRF,1,2,no,2020-07-25,P,2
130,eTRF,1,2,no,2020-07-19,D,1
130,eTRF,1,2,no,2020-07-26,E,3
130,eTRF,1,2,no,2020-08-05,E,3
130,eTRF,1,2,no,2020-06-30,E,3
130,eTRF,1,2,no,2020-07-17,E,3
130,eTRF,1,2,no,2020-07-16,P,2
130,eTRF,1,2,no,2020-07-20,E,3
131,eTRF,1,2,no,2020-07-15,P,2
131,eTRF,1,2,no,2020-07-01,D,1
131,eTRF,1,2,no,2020-07-27,P,2
131,eTRF,1,2,no,2020-08-01,D,1
131,eTRF,1,2,no,2020-08-10,M,1
131,eTRF,1,2,no,2020-07-06,P,2
131,eTRF,1,2,no,2020-07-04,M,1
131,eTRF,1,2,no,2020-07-28,P,2
131,eTRF,1,2,no,2020-07-05,P,2
131,eTRF,1,2,no,2020-08-09,D,1
131,eTRF,1,2,no,2020-07-21,M,1
131,eTRF,1,2,no,2020-07-17,P,2
131,eTRF,1,2,no,2020-08-08,M,1
131,eTRF,1,2,no,2020-07-02,M,1
131,eTRF,1,2,no,2020-07-16,P,2
131,eTRF,1,2,no,2020-07-03,E,3
131,eTRF,1,2,no,2020-07-29,E,3
131,eTRF,1,2,no,2020-08-04,D,1
131,eTRF,1,2,no,2020-07-14,P,2
131,eTRF,1,2,no,2020-07-20,P,2
131,eTRF,1,2,no,2020-07-22,D,1
131,eTRF,1,2,no,2020-08-03,D,1
131,eTRF,1,2,no,2020-07-26,M,1
131,eTRF,1,2,no,2020-07-30,E,3
131,eTRF,1,2,no,2020-07-31,M,1
131,eTRF,1,2,no,2020-07-23,D,1
131,eTRF,1,2,no,2020-08-02,D,1
131,eTRF,1,2,no,2020-06-30,M,1
131,eTRF,1,2,no,2020-07-25,E,3
131,eTRF,1,2,no,2020-08-05,D,1
131,eTRF,1,2,no,2020-08-07,D,1
131,eTRF,1,2,no,2020-07-24,P,2
131,eTRF,1,2,no,2020-07-18,P,2
131,eTRF,1,2,no,2020-07-19,D,1
131,eTRF,1,2,no,2020-08-06,D,1
131,eTRF,1,2,no,2020-07-08,P,2
133,AL,1,2,no,2020-07-06,E,3
133,AL,1,2,no,2020-08-03,E,3
133,AL,1,2,no,2020-08-04,E,3
133,AL,1,2,no,2020-07-18,M,1
133,AL,1,2,no,2020-08-05,M,1
133,AL,1,2,no,2020-07-24,E,3
133,AL,1,2,no,2020-07-22,D,1
133,AL,1,2,no,2020-07-25,E,3
133,AL,1,2,no,2020-08-01,D,1
133,AL,1,2,no,2020-08-06,D,1
133,AL,1,2,no,2020-07-23,E,3
133,AL,1,2,no,2020-06-30,E,3
133,AL,1,2,no,2020-07-30,E,3
133,AL,1,2,no,2020-07-29,E,3
133,AL,1,2,no,2020-07-04,M,1
133,AL,1,2,no,2020-07-07,E,3
133,AL,1,2,no,2020-07-19,P,2
133,AL,1,2,no,2020-07-21,E,3
133,AL,1,2,no,2020-07-28,P,2
133,AL,1,2,no,2020-07-16,E,3
133,AL,1,2,no,2020-07-17,P,2
133,AL,1,2,no,2020-07-26,M,1
133,AL,1,2,no,2020-07-27,D,1
133,AL,1,2,no,2020-07-03,P,2
133,AL,1,2,no,2020-07-15,E,3
133,AL,1,2,no,2020-07-01,M,1
133,AL,1,2,no,2020-08-02,P,2
133,AL,1,2,no,2020-08-09,D,1
133,AL,1,2,no,2020-07-05,D,1
133,AL,1,2,no,2020-07-08,E,3
133,AL,1,2,no,2020-07-31,D,1
133,AL,1,2,no,2020-07-02,P,2
133,AL,1,2,no,2020-07-14,M,1
133,AL,1,2,no,2020-08-07,D,1
133,AL,1,2,no,2020-07-20,D,1
133,AL,1,2,no,2020-08-08,D,1
133,AL,1,2,no,2020-08-10,D,1
