food.consumed,kcals.consumed,day,ID,treatment,food.cumulative,pregnancy,gest.day,cohort
9.199999999999989,26.771999999999966,10,2334,eTRF,247.34999999999985,1,-4,3
2.3000000000000114,6.693000000000033,10,2337,AL,111.16199999999996,1,1,3
1.75,5.0925,10,2340,AL,89.48250000000026,1,-5,3
1.4000000000000057,4.074000000000017,11,7827,AL,41.9039999999999,1,2,1
1.9500000000000028,5.674500000000009,11,7830,AL,54.56250000000021,1,3,1
1.75,5.0925,11,7829,AL,63.14699999999997,1,3,1
4.25,12.3675,11,7864,eTRF,132.84149999999994,1,3,1
4.450000000000017,12.94950000000005,11,7826,eTRF,143.46300000000014,1,3,1
3.299999999999997,9.602999999999993,11,7835,eTRF,121.34700000000001,1,-5,1
3.549999999999997,10.330499999999992,11,7833,eTRF,113.92649999999986,1,-2,1
1.8000000000000114,5.238000000000033,11,7863,AL,53.39850000000023,2,-9,1
2,5.82,11,7843,AL,69.11250000000021,2,-7,1
1.7000000000000455,4.947000000000132,11,7834,AL,NA,2,-11,1
5.099999999999994,14.840999999999983,11,7862,eTRF,145.20899999999997,2,-7,1
3.8000000000000114,11.058000000000034,11,7822,eTRF,150.30150000000006,2,-9,1
4.699999999999989,13.676999999999968,11,7841,eTRF,154.81200000000007,2,-6,1
5.900000000000006,17.16900000000002,11,7838,eTRF,177.50999999999993,2,-13,1
4.1499999999999915,12.076499999999976,11,119,eTRF,138.80700000000002,1,-1,2
3.5,10.185,11,118,eTRF,-425.15099999999995,1,-4,2
4.400000000000006,12.804000000000018,11,124,eTRF,182.45700000000014,1,2,2
2.549999999999997,7.420499999999992,11,134,eTRF,120.76499999999996,1,-2,2
1.9500000000000028,5.674500000000009,11,143,AL,60.964500000000264,1,-2,2
1.1000000000000227,3.2010000000000662,11,123,AL,68.6759999999999,1,-3,2
1.5999999999999943,4.655999999999984,11,128,AL,82.64400000000026,1,-1,2
1.5999999999999943,4.655999999999984,11,146,AL,86.71800000000016,1,1,2
6.400000000000006,18.624000000000017,11,2321,eTRF,290.70900000000006,1,1,3
1.8999999999999773,5.528999999999934,11,2323,AL,182.89350000000007,1,0.5,3
7.049999999999997,20.515499999999992,11,2324,eTRF,181.14750000000006,1,-4,3
2.0500000000000114,5.965500000000033,11,2335,AL,380.3369999999998,1,-1,3
10.899999999999977,31.718999999999934,11,2333,eTRF,349.6365000000001,1,2,3
5.599999999999994,16.295999999999985,11,2334,eTRF,263.64599999999984,1,-3,3
2.8000000000000114,8.148000000000033,11,2337,AL,119.31,1,2,3
2.75,8.002500000000001,11,2340,AL,97.48500000000026,1,-4,3
1.4499999999999886,4.219499999999967,12,7827,AL,46.123499999999865,1,3,1
1.75,5.0925,12,7830,AL,59.65500000000021,1,4,1
1.8000000000000114,5.238000000000033,12,7829,AL,68.385,1,4,1
4.049999999999997,11.785499999999992,12,7864,eTRF,144.62699999999992,1,4,1
4.150000000000006,12.076500000000017,12,7826,eTRF,155.53950000000015,1,4,1
4,11.64,12,7835,eTRF,132.98700000000002,1,-4,1
2.549999999999997,7.420499999999992,12,7833,eTRF,121.34699999999985,1,-1,1
1.5,4.365,12,7863,AL,57.763500000000235,2,-8,1
1.6000000000000227,4.656000000000066,12,7843,AL,73.76850000000027,2,-6,1
1.5,4.365,12,7834,AL,NA,2,-10,1
4.200000000000017,12.222000000000051,12,7862,eTRF,157.43100000000004,2,-6,1
3.6999999999999886,10.766999999999967,12,7822,eTRF,161.06850000000003,2,-8,1
4.299999999999983,12.51299999999995,12,7841,eTRF,167.32500000000002,2,-7,1
6.200000000000017,18.04200000000005,12,7838,eTRF,195.552,2,-12,1
3.8999999999999915,11.348999999999975,12,119,eTRF,150.156,1,0,2
3.3500000000000085,9.748500000000025,12,118,eTRF,-415.4024999999999,1,-3,2
3.5,10.185,12,124,eTRF,192.64200000000014,1,3,2
3.450000000000003,10.03950000000001,12,134,eTRF,130.80449999999996,1,-1,2
1.8000000000000114,5.238000000000033,12,143,AL,66.2025000000003,1,-1,2
1.3500000000000085,3.928500000000025,12,123,AL,72.60449999999993,1,-2,2
1.4000000000000057,4.074000000000017,12,128,AL,86.71800000000029,1,0,2
1.299999999999983,3.7829999999999506,12,146,AL,90.50100000000012,1,2,2
7.200000000000017,20.95200000000005,12,2321,eTRF,311.6610000000001,1,2,3
1.450000000000017,4.21950000000005,12,2323,AL,187.1130000000001,1,1,3
4.900000000000006,14.259000000000018,12,2324,eTRF,195.40650000000008,1,-3,3
2.5,7.275,12,2335,AL,387.6119999999998,1,0.5,3
8.299999999999983,24.152999999999953,12,2333,eTRF,373.7895000000001,1,3,3
5.25,15.2775,12,2334,eTRF,278.9234999999998,1,-2,3
2.8000000000000114,8.148000000000033,12,2337,AL,127.45800000000004,1,3,3
2.4000000000000057,6.984000000000017,12,2340,AL,104.46900000000028,1,-3,3
1.75,5.0925,13,7827,AL,51.21599999999986,1,4,1
1.4500000000000028,4.219500000000009,13,7830,AL,63.87450000000022,1,5,1
1.75,5.0925,13,7829,AL,73.4775,1,5,1
3.8499999999999943,11.203499999999984,13,7864,eTRF,155.83049999999992,1,5,1
4.3500000000000085,12.658500000000025,13,7826,eTRF,168.19800000000018,1,5,1
3.9000000000000057,11.349000000000018,13,7835,eTRF,144.33600000000004,1,-3,1
3.75,10.912500000000001,13,7833,eTRF,132.25949999999986,1,0,1
1.5,4.365,13,7863,AL,62.12850000000024,2,-7,1
1.200000000000017,3.4920000000000497,13,7843,AL,77.26050000000032,2,-5,1
1.599999999999966,4.655999999999901,13,7834,AL,NA,2,-9,1
3.5,10.185,13,7862,eTRF,167.61600000000004,2,-5,1
4.099999999999994,11.930999999999983,13,7822,eTRF,172.9995,2,-7,1
3.5999999999999943,10.475999999999983,13,7841,eTRF,177.801,2,-6,1
4.699999999999989,13.676999999999968,13,7838,eTRF,209.22899999999996,2,-11,1
3.0999999999999943,9.020999999999983,13,119,eTRF,159.17699999999996,1,1,2
3.5999999999999943,10.475999999999983,13,118,eTRF,-404.9264999999999,1,-2,2
4.300000000000011,12.513000000000034,13,124,eTRF,205.15500000000017,1,4,2
4.149999999999977,12.076499999999934,13,134,eTRF,142.88099999999991,1,0,2
1.9000000000000057,5.529000000000017,13,143,AL,71.73150000000031,1,0,2
1.2000000000000028,3.4920000000000084,13,123,AL,76.09649999999993,1,-1,2
1.5999999999999943,4.655999999999984,13,128,AL,91.37400000000027,1,1,2
2.0500000000000114,5.965500000000033,13,146,AL,96.46650000000015,1,3,2
6.100000000000023,17.75100000000007,13,2321,eTRF,329.4120000000002,1,3,3
1.3999999999999915,4.073999999999975,13,2323,AL,191.1870000000001,1,2,3
5.049999999999997,14.695499999999992,13,2324,eTRF,210.10200000000006,1,-2,3
1.9499999999999886,5.674499999999967,13,2335,AL,393.28649999999976,1,1,3
8.099999999999994,23.570999999999984,13,2333,eTRF,397.36050000000006,1,4,3
3.8999999999999773,11.348999999999934,13,2334,eTRF,290.27249999999975,1,-1,3
2.900000000000034,8.4390000000001,13,2337,AL,135.89700000000013,1,4,3
1.8000000000000114,5.238000000000033,13,2340,AL,109.7070000000003,1,-2,3
1.4499999999999886,4.219499999999967,14,7827,AL,55.43549999999983,1,5,1
1.3499999999999943,3.9284999999999837,14,7830,AL,67.8030000000002,1,6,1
1.5500000000000114,4.510500000000033,14,7829,AL,77.98800000000004,1,6,1
3.6499999999999915,10.621499999999976,14,7864,eTRF,166.45199999999988,1,6,1
3.5500000000000114,10.330500000000034,14,7826,eTRF,178.5285000000002,1,6,1
3.700000000000003,10.767000000000008,14,7835,eTRF,155.10300000000004,1,-2,1
3.700000000000003,10.767000000000008,14,7833,eTRF,143.02649999999986,1,1,1
1.7999999999999545,5.237999999999868,14,7863,AL,67.3665000000001,2,-6,1
1.5,4.365,14,7843,AL,81.62550000000033,2,-4,1
1.8000000000000114,5.238000000000033,14,7834,AL,NA,2,-8,1
2.799999999999983,8.14799999999995,14,7862,eTRF,175.76399999999998,2,-4,1
4,11.64,14,7822,eTRF,184.63950000000003,2,-6,1
4.699999999999989,13.676999999999968,14,7841,eTRF,191.47799999999995,2,-5,1
4.799999999999983,13.96799999999995,14,7838,eTRF,223.1969999999999,2,-10,1
3.8499999999999943,11.203499999999984,14,119,eTRF,170.38049999999996,1,2,2
3.4000000000000057,9.894000000000018,14,118,eTRF,-395.0324999999999,1,-1,2
4.300000000000011,12.513000000000034,14,124,eTRF,217.6680000000002,1,5,2
4.299999999999983,12.51299999999995,14,134,eTRF,155.39399999999986,1,1,2
2.1500000000000057,6.256500000000017,14,143,AL,77.98800000000033,1,1,2
1.6000000000000085,4.6560000000000255,14,123,AL,80.75249999999997,1,0,2
2.5,7.275,14,128,AL,98.64900000000027,1,2,2
2.0500000000000114,5.965500000000033,14,146,AL,102.43200000000019,1,4,2
6.200000000000017,18.04200000000005,14,2321,eTRF,347.45400000000024,1,4,3
1.5,4.365,14,2323,AL,195.5520000000001,1,3,3
4.199999999999989,12.221999999999968,14,2324,eTRF,222.32400000000004,1,-1,3
2.400000000000034,6.9840000000000995,14,2335,AL,400.27049999999986,1,2,3
4.900000000000006,14.259000000000018,14,2333,eTRF,411.6195000000001,1,5,3
4.5,13.095,14,2334,eTRF,303.3674999999998,1,0.5,3
0.4000000000000341,1.1640000000000994,14,2337,AL,137.06100000000023,1,5,3
1.1999999999999886,3.491999999999967,14,2340,AL,113.19900000000027,1,-1,3
54.040000000000006,157.2564,15,7827,AL,212.69189999999983,1,6,1
24.35000000000001,70.85850000000003,15,7830,AL,138.66150000000025,1,7,1
60.650000000000006,176.49150000000003,15,7829,AL,254.47950000000006,1,7,1
8.600000000000009,25.026000000000025,15,7864,eTRF,191.47799999999992,1,7,1
69.45,202.0995,15,7826,eTRF,380.6280000000002,1,7,1
27.450000000000003,79.87950000000001,15,7835,eTRF,234.98250000000004,1,-1,1
39.900000000000006,116.10900000000002,15,7833,eTRF,259.13549999999987,1,2,1
147.8,430.09800000000007,15,7863,AL,497.46450000000016,2,-5,1
14.899999999999977,43.35899999999994,15,7843,AL,124.98450000000027,2,-3,1
122,355.02000000000004,15,7834,AL,NA,2,-7,1
67,194.97,15,7862,eTRF,370.734,2,-3,1
46.79999999999998,136.18799999999996,15,7822,eTRF,320.8275,2,-5,1
81.79999999999998,238.03799999999995,15,7841,eTRF,429.5159999999999,2,-4,1
48.80000000000001,142.00800000000004,15,7838,eTRF,365.2049999999999,2,-9,1
54.44999999999999,158.44949999999997,15,119,eTRF,328.8299999999999,1,3,2
3.549999999999997,10.330499999999992,15,118,eTRF,-384.70199999999994,1,0,2
3.799999999999983,11.05799999999995,15,124,eTRF,228.72600000000017,1,6,2
3.9499999999999886,11.494499999999967,15,134,eTRF,166.88849999999982,1,2,2
2.0999999999999943,6.110999999999984,15,143,AL,84.09900000000032,1,2,2
1.6000000000000085,4.6560000000000255,15,123,AL,85.40849999999999,1,1,2
1.9499999999999886,5.674499999999967,15,128,AL,104.32350000000024,1,3,2
2.3499999999999943,6.838499999999984,15,146,AL,109.27050000000017,1,5,2
5.299999999999983,15.42299999999995,15,2321,eTRF,362.8770000000002,1,5,3
1.8000000000000114,5.238000000000033,15,2323,AL,200.79000000000013,1,NA,3
4.049999999999997,11.785499999999992,15,2324,eTRF,234.10950000000003,1,0.5,3
1.400000000000034,4.074000000000099,15,2335,AL,404.3445,1,3,3
4.200000000000017,12.222000000000051,15,2333,eTRF,423.8415000000001,1,6,3
3.9000000000000057,11.349000000000018,15,2334,eTRF,314.71649999999977,1,1,3
2.3000000000000114,6.693000000000033,15,2337,AL,143.75400000000027,1,6,3
1.5,4.365,15,2340,AL,117.56400000000028,1,0.5,3
0.9000000000000057,2.6190000000000166,16,7827,AL,215.31089999999986,1,7,1
1.1499999999999915,3.3464999999999754,16,7830,AL,142.0080000000002,1,8,1
1,2.91,16,7829,AL,257.38950000000006,1,8,1
2,5.82,16,7864,eTRF,197.29799999999992,1,8,1
2.1500000000000057,6.256500000000017,16,7826,eTRF,386.88450000000023,1,8,1
1.6500000000000057,4.801500000000017,16,7835,eTRF,239.78400000000008,1,0,1
1.7999999999999972,5.2379999999999916,16,7833,eTRF,264.37349999999986,1,3,1
3.8000000000000114,11.058000000000034,16,7863,AL,508.5225000000002,2,-4,1
3.8000000000000114,11.058000000000034,16,7843,AL,136.0425000000003,2,-2,1
2.7999999999999545,8.147999999999868,16,7834,AL,NA,2,-6,1
6.699999999999989,19.496999999999968,16,7862,eTRF,390.23099999999994,2,-2,1
6.799999999999983,19.78799999999995,16,7822,eTRF,340.61549999999994,2,-4,1
6.700000000000017,19.49700000000005,16,7841,eTRF,449.013,2,-3,1
8.300000000000011,24.153000000000034,16,7838,eTRF,389.35799999999995,2,-8,1
4.050000000000011,11.785500000000035,16,119,eTRF,340.6155,1,4,2
4.75,13.822500000000002,16,118,eTRF,-370.8794999999999,1,1,2
4.300000000000011,12.513000000000034,16,124,eTRF,241.2390000000002,1,7,2
3.6999999999999886,10.766999999999967,16,134,eTRF,177.6554999999998,1,3,2
1.799999999999983,5.237999999999951,16,143,AL,89.33700000000026,1,3,2
1.75,5.0925,16,123,AL,90.50099999999999,1,2,2
2.700000000000003,7.857000000000009,16,128,AL,112.18050000000025,1,4,2
2.1500000000000057,6.256500000000017,16,146,AL,115.52700000000019,1,6,2
5.099999999999994,14.840999999999983,16,2321,eTRF,377.7180000000002,1,6,3
2.299999999999983,6.692999999999951,16,2323,AL,207.4830000000001,1,6,3
5.25,15.2775,16,2324,eTRF,249.38700000000003,1,1,3
1.1999999999999886,3.491999999999967,16,2335,AL,407.83649999999994,1,4,3
6,17.46,16,2333,eTRF,441.30150000000015,1,7,3
5.050000000000011,14.695500000000035,16,2334,eTRF,329.4119999999998,1,2,3
2,5.82,16,2337,AL,149.57400000000027,1,7,3
1.3999999999999773,4.073999999999934,16,2340,AL,121.6380000000002,1,1,3
0.5,1.455,17,7827,AL,216.76589999999985,1,8,1
1.200000000000017,3.4920000000000497,17,7830,AL,145.50000000000026,1,9,1
1.299999999999983,3.7829999999999506,17,7829,AL,261.1725,1,9,1
3,8.73,17,7864,eTRF,206.0279999999999,1,9,1
3.299999999999983,9.60299999999995,17,7826,eTRF,396.4875000000002,1,9,1
3,8.73,17,7835,eTRF,248.51400000000007,1,1,1
2.8000000000000114,8.148000000000033,17,7833,eTRF,272.5214999999999,1,4,1
1.2999999999999972,3.782999999999992,17,7863,AL,512.3055000000002,2,-3,1
1.0499999999999972,3.055499999999992,17,7843,AL,139.0980000000003,2,-1,1
1.4499999999999886,4.219499999999967,17,7834,AL,NA,2,-5,1
3.200000000000003,9.312000000000008,17,7862,eTRF,399.54299999999995,2,-1,1
3.450000000000003,10.03950000000001,17,7822,eTRF,350.6549999999999,2,-3,1
3.1500000000000057,9.166500000000017,17,7841,eTRF,458.17949999999996,2,-2,1
3.5999999999999943,10.475999999999983,17,7838,eTRF,399.83399999999995,2,-7,1
3.3000000000000114,9.603000000000034,17,119,eTRF,350.2185,1,5,2
4,11.64,17,118,eTRF,-359.2394999999999,1,2,2
4.300000000000011,12.513000000000034,17,124,eTRF,253.75200000000024,1,8,2
3.299999999999983,9.60299999999995,17,134,eTRF,187.25849999999974,1,4,2
1.5,4.365,17,143,AL,93.70200000000027,1,4,2
1.299999999999983,3.7829999999999506,17,123,AL,94.28399999999993,1,3,2
